1000;admin;password;Admin;admin
2222;serdarsetgoz;code007;Serdar Sertgoz;customer
2424;ertugruldemir;ert4311;Ertugrul Demir;customer
2123;asus;65rog56;Asus;producer
3214;everest;mountain_61;Everest;producer
2023;umitakgun;1beyaz_gun;Umit Akgun;customer
5476;yusufekmekci;zam0.35;Yusuf Ekmekci;customer
3451;msi;dragon_12;MSI;producer
8563;omurmalaldir;spider34;Omur Malaldir;customer
8932;emrealbayrak;wolf_78;Emre Albayrak;customer
7532;busekaya;rock9763;Buse Kaya;customer
5296;muhittin123;12345;muhittin adý güzel;customer
